,property_id,property_label,person_count,rank,coverage_%
536,P8094,GeneaStar person ID,1,537,0.1
537,P2398,MLS player ID,1,538,0.1
538,P2180,Kansallisbiografia ID,1,539,0.1
539,P4629,Online Books Page author ID,1,540,0.1
540,P2640,Swimrankings.net swimmer ID,1,541,0.1
541,P12361,Bluesky handle,1,542,0.1
542,P5298,Webb-site person ID,1,543,0.1
543,P12749,SNARC ID,1,544,0.1
544,P157,killed by,1,545,0.1
545,P8013,Trakt.tv ID,1,546,0.1
546,P865,BMLO ID,1,547,0.1
547,P1977,Les Archives du spectacle person ID,1,548,0.1
548,P3435,VGMdb artist ID,1,549,0.1
549,P7303,Grammy Awards artist ID,1,550,0.1
550,P10780,Radio France person ID,1,551,0.1
551,P2428,RePEc Short-ID,1,552,0.1
552,P4208,Billboard artist ID,1,553,0.1
553,P2774,FIS freestyle skier ID,1,554,0.1
554,P3172,World Bridge Federation person ID,1,555,0.1
555,P5375,BIU Santé person ID,1,556,0.1
556,P9738,IFPNI author ID,1,557,0.1
557,P11146,collection items at,1,558,0.1
558,P14073,TheaterEncyclopedie ID,1,559,0.1
559,P611,religious order,1,560,0.1
560,P6091,MGG Online ID,1,561,0.1
561,P6081,RIA Novosti reference,1,562,0.1
562,P598,commander of (DEPRECATED),1,563,0.1
563,P7112,CUP2002.RU person ID,1,564,0.1
564,P3283,Bandcamp profile ID,1,565,0.1
565,P9509,Mixcloud ID,1,566,0.1
566,P7050,Album of the Year artist ID,1,567,0.1
567,P5436,number of viewers/listeners,1,568,0.1
568,P2041,National Gallery of Victoria artist ID,1,569,0.1
569,P1980,PolSys ID,1,570,0.1
570,P3074,Grace's Guide ID,1,571,0.1
571,P1290,godparent,1,572,0.1
572,P3448,stepparent,1,573,0.1
573,P1884,hair color,1,574,0.1
574,P3791,Art Renewal Center artist ID,1,575,0.1
575,P549,Mathematics Genealogy Project ID,1,576,0.1
576,P4955,MR Author ID,1,577,0.1
577,P8172,Sejm-Wielki.pl profile ID,1,578,0.1
578,P1989,Encyclopaedia Metallum artist ID,1,579,0.1
579,P6878,Erik Amburger database ID,1,580,0.1
580,P9823,Volleybox ID,1,581,0.1
581,P3925,Track and Field Statistics male athlete ID,1,582,0.1
582,P8740,The Boardr profile ID,1,583,0.1
583,P8006,footedness,1,584,0.1
584,P4893,X Games athlete ID number (archived),1,585,0.1
585,P8634,SPoT skater ID (former scheme),1,586,0.1
586,P7400,LibraryThing author ID,1,587,0.1
587,P528,catalog code,1,588,0.1
588,P8406,Grove Art Online ID,1,589,0.1
589,P1299,depicted by,1,590,0.1
590,P10925,Galleria Recta artist ID,1,591,0.1
591,P10882,Met Constituent ID,1,592,0.1
592,P1882,Web Gallery of Art artist ID,1,593,0.1
593,P12822,Norwegian National Museum producer ID,1,594,0.1
594,P5035,Lambiek Comiclopedia artist ID,1,595,0.1
595,P7036,TuttoCalciatori.net player ID,1,596,0.1
